short_ticker,trade_date,close_price,moving average,last_price
yndx,2019-06-13,2492,2384.64,
yndx,2019-06-14,2465,2390.47,
yndx,2019-06-17,2455.8,2394.13,
yndx,2019-06-18,2480.2,2408.41,
yndx,2019-06-19,2470.2,2416.99,
yndx,2019-06-20,2492.8,2425.07,
yndx,2019-06-21,2468.4,2434.49,
yndx,2019-06-24,2452.6,2444.03,
yndx,2019-06-25,2424.6,2450.0,
yndx,2019-06-26,2391.6,2452.19,
yndx,2019-06-27,2410,2453.69,
yndx,2019-06-28,2405.4,2452.74,
yndx,2019-07-01,2482.4,2456.13,
yndx,2019-07-02,2491.2,2455.87,
yndx,2019-07-03,2505.4,2456.83,
yndx,2019-07-04,2494.8,2458.96,
yndx,2019-07-05,2481.4,2460.79,
yndx,2019-07-08,2465,2459.7,
yndx,2019-07-09,2478,2460.26,
yndx,2019-07-10,2500.2,2460.79,
yndx,2019-07-11,2495,2462.69,
yndx,2019-07-12,2573,2471.29,
yndx,2019-07-15,2546.4,2479.99,
yndx,2019-07-16,2542.6,2490.77,
yndx,2019-07-17,2509.2,2497.86,
yndx,2019-07-18,2489.8,2503.89,
yndx,2019-07-19,2518,2506.43,
yndx,2019-07-22,2486,2506.06,
yndx,2019-07-23,2482.8,2504.44,
yndx,2019-07-24,2507,2505.31,
yndx,2019-07-25,2461.6,2503.9,
yndx,2019-07-26,2520,2507.83,
yndx,2019-07-29,2441,2505.19,
yndx,2019-07-30,2480.4,2503.77,
yndx,2019-07-31,2490,2503.41,
yndx,2019-08-01,2550.6,2501.81,
yndx,2019-08-02,2470,2496.36,
yndx,2019-08-05,2369.6,2484.0,
yndx,2019-08-06,2413,2477.13,
yndx,2019-08-07,2428.8,2472.77,
yndx,2019-08-08,2413.2,2465.29,
yndx,2019-08-09,2405,2459.5,
yndx,2019-08-12,2410,2454.3,
yndx,2019-08-13,2428,2448.66,
yndx,2019-08-14,2374,2442.4,
yndx,2019-08-15,2365.4,2431.36,
yndx,2019-08-16,2394,2428.0,
yndx,2019-08-19,2424,2423.97,
yndx,2019-08-20,2438.4,2420.29,
yndx,2019-08-21,2421.2,2411.04,
yndx,2019-08-22,2399,2405.97,
yndx,2019-08-23,2391,2407.5,
yndx,2019-08-26,2394.4,2406.17,
yndx,2019-08-27,2429.8,2406.24,
yndx,2019-08-28,2434,2407.73,
yndx,2019-08-29,2441,2410.3,
yndx,2019-08-30,2462.8,2414.07,
yndx,2019-09-02,2469.8,2417.06,
yndx,2019-09-03,2487,2425.13,
yndx,2019-09-04,2487,2433.81,
yndx,2019-09-05,2509.2,2442.04,
yndx,2019-09-06,2503.6,2447.73,
yndx,2019-09-09,2466,2449.7,
yndx,2019-09-10,2450.2,2451.77,
yndx,2019-09-11,2466.2,2456.57,
yndx,2019-09-12,2457,2461.29,
yndx,2019-09-13,2453,2465.47,
yndx,2019-09-16,2447.6,2466.74,
yndx,2019-09-17,2438.4,2467.06,
yndx,2019-09-18,2432,2466.41,
yndx,2019-09-19,2407.4,2462.46,
yndx,2019-09-20,2350.2,2453.91,
yndx,2019-09-23,2342.2,2443.57,
yndx,2019-09-24,2301.4,2430.31,
yndx,2019-09-25,2322.4,2416.97,
yndx,2019-09-26,2319.6,2403.83,
yndx,2019-09-27,2315.8,2393.1,
yndx,2019-09-30,2263.4,2379.76,
yndx,2019-10-01,2287,2366.96,
yndx,2019-10-02,2250,2352.17,
yndx,2019-10-03,2265,2338.74,
yndx,2019-10-04,2274.4,2326.37,
yndx,2019-10-07,2284.2,2315.36,
yndx,2019-10-08,2295.2,2305.59,
yndx,2019-10-09,2312,2298.77,
yndx,2019-10-10,2327,2297.11,
yndx,2019-10-11,1898,2265.39,
yndx,2019-10-14,1975.6,2242.11,
yndx,2019-10-15,1986.6,2218.13,
yndx,2019-10-16,1957.2,2192.24,
yndx,2019-10-17,1927,2164.47,
yndx,2019-10-18,1934,2140.94,
yndx,2019-10-21,2061,2124.8,
yndx,2019-10-22,2054.6,2110.84,
yndx,2019-10-23,2046.6,2095.24,
yndx,2019-10-24,2090.2,2082.09,
yndx,2019-10-25,2064,2066.36,
yndx,2019-10-28,2118.4,2053.73,
yndx,2019-10-29,2134.4,2041.04,
yndx,2019-10-30,2156,2028.83,
yndx,2019-10-31,2125.8,2045.1,
yndx,2019-11-01,2138,2056.7,
yndx,2019-11-05,2171.4,2069.9,
yndx,2019-11-06,2191,2086.6,
yndx,2019-11-07,2187.8,2105.23,
yndx,2019-11-08,2184.8,2123.14,
yndx,2019-11-11,2179.6,2131.61,
yndx,2019-11-12,2184,2140.86,
yndx,2019-11-13,2173.8,2149.94,
yndx,2019-11-14,2186.4,2156.81,
yndx,2019-11-15,2267,2171.31,
yndx,2019-11-18,2525.2,2200.37,
yndx,2019-11-19,2510,2227.2,
yndx,2019-11-20,2514.4,2252.8,
yndx,2019-11-21,2549,2283.03,
yndx,2019-11-22,2566.2,2313.61,
yndx,2019-11-25,2629,2346.3,
yndx,2019-11-26,2635.8,2378.07,
yndx,2019-11-27,2668,2412.37,
yndx,2019-11-28,2624.6,2443.79,
yndx,2019-11-29,2693,2480.46,
yndx,2019-12-02,2620.6,2511.64,
yndx,2019-12-03,2599,2542.01,
yndx,2019-12-04,2607.4,2572.09,
yndx,2019-12-05,2568.4,2593.61,
yndx,2019-12-06,2570.4,2596.84,
yndx,2019-12-09,2584,2602.13,
yndx,2019-12-10,2588,2607.39,
yndx,2019-12-11,2595,2610.67,
yndx,2019-12-12,2628,2615.09,
yndx,2019-12-13,2662.8,2617.5,
yndx,2019-12-16,2690,2621.37,
yndx,2019-12-17,2660,2620.8,
yndx,2019-12-18,2625,2620.83,
yndx,2019-12-19,2623.2,2615.84,
yndx,2019-12-20,2680,2620.09,
yndx,2019-12-23,2699.8,2627.29,
yndx,2019-12-24,2688,2633.04,
yndx,2019-12-25,2687,2641.51,
yndx,2019-12-26,2713,2651.7,
yndx,2019-12-27,2736,2662.56,
yndx,2019-12-30,2697,2670.34,
yndx,2020-01-03,2685,2676.77,
yndx,2020-01-06,2672,2679.91,
yndx,2020-01-08,2677,2680.93,
yndx,2020-01-09,2728.4,2683.67,
yndx,2020-01-10,2725,2688.31,
yndx,2020-01-13,2703.4,2693.91,
yndx,2020-01-14,2685,2698.33,
yndx,2020-01-15,2690,2699.04,
yndx,2020-01-16,2719.8,2700.47,
yndx,2020-01-17,2772.8,2706.53,
yndx,2020-01-20,2800,2714.6,
yndx,2020-01-21,2770,2718.67,
yndx,2020-01-22,2790,2722.53,
yndx,2020-01-23,2820.2,2731.33,
yndx,2020-01-24,2798,2739.4,
yndx,2020-01-27,2780,2747.11,
yndx,2020-01-28,2799.8,2755.89,
yndx,2020-01-29,2890,2767.43,
yndx,2020-01-30,2888,2779.07,
yndx,2020-01-31,2873.4,2791.21,
yndx,2020-02-03,2880.6,2805.19,
yndx,2020-02-04,2990,2826.61,
yndx,2020-02-05,3008.2,2847.21,
yndx,2020-02-06,3048.2,2866.89,
yndx,2020-02-07,3103.8,2888.59,
yndx,2020-02-10,3087.2,2911.24,
yndx,2020-02-11,3085,2932.31,
yndx,2020-02-12,3037.2,2947.81,
yndx,2020-02-13,3087.4,2968.49,
yndx,2020-02-14,3011,2984.99,
yndx,2020-02-17,2983.6,2998.11,
yndx,2020-02-18,2937,3001.47,
yndx,2020-02-19,2953,3006.11,
yndx,2020-02-20,2988.4,3014.33,
yndx,2020-02-21,2911.8,3016.56,
yndx,2020-02-25,2681.8,2994.54,
yndx,2020-02-26,2690.8,2971.87,
yndx,2020-02-27,2678.2,2945.44,
yndx,2020-02-28,2659.8,2913.73,
yndx,2020-03-02,2721.4,2887.6,
yndx,2020-03-03,2723,2861.74,
yndx,2020-03-04,2654.2,2834.39,
yndx,2020-03-05,2728.2,2808.73,
yndx,2020-03-06,2685,2785.44,
yndx,2020-03-10,2590,2757.33,
yndx,2020-03-11,2615,2734.33,
yndx,2020-03-12,2460,2699.11,
yndx,2020-03-13,2470,2662.09,
yndx,2020-03-16,2370,2623.39,
yndx,2020-03-17,2425,2605.04,
yndx,2020-03-18,2318.8,2578.47,
yndx,2020-03-19,2434,2561.03,
yndx,2020-03-20,2455.2,2546.41,
yndx,2020-03-23,2299.8,2516.3,
yndx,2020-03-24,2459,2497.44,
yndx,2020-03-25,2555.8,2490.41,
yndx,2020-03-26,2610,2481.97,
yndx,2020-03-27,2597,2475.69,
yndx,2020-03-30,2670.2,2481.41,
yndx,2020-03-31,2714.4,2488.51,
yndx,2020-04-01,2605.8,2498.93,
yndx,2020-04-02,2550.8,2504.7,
yndx,2020-04-03,2520,2515.41,
yndx,2020-04-05,2520,,
aflt,2017-03-02,174,,
aflt,2017-03-03,168.85,,
aflt,2017-03-06,167.1,,
aflt,2017-03-07,161.15,,
aflt,2017-03-09,152.65,,
aflt,2017-03-10,149.2,,
aflt,2017-03-13,157.4,,
aflt,2017-03-14,154.6,,
aflt,2017-03-15,153.1,,
aflt,2017-03-16,159.4,,
aflt,2017-03-17,161.55,,
aflt,2017-03-20,159.3,,
aflt,2017-03-21,159,,
aflt,2017-03-22,164.25,160.11,
aflt,2017-03-23,165.45,159.5,
aflt,2017-03-24,167.6,159.41,
aflt,2017-03-27,165,159.26,
aflt,2017-03-28,165.65,159.58,
aflt,2017-03-29,166.25,160.55,
aflt,2017-03-30,168.8,161.95,
aflt,2017-03-31,168,162.71,
aflt,2017-04-03,168.3,163.69,
aflt,2017-04-04,168.7,164.8,
aflt,2017-04-05,174.95,165.91,
aflt,2017-04-06,177.5,167.05,
aflt,2017-04-07,171.9,167.95,
aflt,2017-04-10,163.55,168.28,
aflt,2017-04-11,166.35,168.43,
aflt,2017-04-12,164.2,168.34,
aflt,2017-04-13,166.3,168.25,
aflt,2017-04-14,161.75,168.01,
aflt,2017-04-17,163.8,167.88,
aflt,2017-04-18,163.05,167.65,
aflt,2017-04-19,162.05,167.17,
aflt,2017-04-20,163.5,166.85,
aflt,2017-04-21,167.35,166.78,
aflt,2017-04-24,171.85,167.01,
aflt,2017-04-25,176.45,167.11,
aflt,2017-04-26,179.95,167.29,
aflt,2017-04-27,175.85,167.57,
aflt,2017-04-28,175.75,168.44,
aflt,2017-05-02,180,169.42,
aflt,2017-05-03,181.25,170.64,
aflt,2017-05-04,183.15,171.84,
aflt,2017-05-05,187.6,173.69,
aflt,2017-05-10,189.8,175.54,
aflt,2017-05-11,187.5,177.29,
aflt,2017-05-12,184.15,178.87,
aflt,2017-05-15,181.9,180.18,
aflt,2017-05-16,184.4,181.4,
aflt,2017-05-17,186,182.41,
aflt,2017-05-18,189.3,183.33,
aflt,2017-05-19,189.1,183.98,
aflt,2017-05-22,190.3,185.01,
aflt,2017-05-23,195,186.39,
aflt,2017-05-24,193.8,187.37,
aflt,2017-05-25,195.15,188.37,
aflt,2017-05-26,190.1,188.86,
aflt,2017-05-29,189.5,189.0,
aflt,2017-05-30,191.05,189.09,
aflt,2017-05-31,188.6,189.17,
aflt,2017-06-01,188.2,189.46,
aflt,2017-06-02,185.8,189.74,
aflt,2017-06-05,189.05,190.07,
aflt,2017-06-06,190,190.35,
aflt,2017-06-07,189,190.33,
aflt,2017-06-08,192.1,190.55,
aflt,2017-06-09,192.85,190.73,
aflt,2017-06-13,189,190.3,
aflt,2017-06-14,190,190.03,
aflt,2017-06-15,182.2,189.1,
aflt,2017-06-16,174.65,188.0,
aflt,2017-06-19,181.5,187.43,
aflt,2017-06-20,181.4,186.74,
aflt,2017-06-21,191,186.91,
aflt,2017-06-22,194.3,187.35,
aflt,2017-06-23,191.35,187.74,
aflt,2017-06-26,186.75,187.58,
aflt,2017-06-27,189.5,187.54,
aflt,2017-06-28,190.05,187.62,
aflt,2017-06-29,193,187.68,
aflt,2017-06-30,195.3,187.86,
aflt,2017-07-03,197.8,188.49,
aflt,2017-07-04,198.8,189.11,
aflt,2017-07-05,204.25,190.69,
aflt,2017-07-06,215.25,193.59,
aflt,2017-07-07,213,195.84,
aflt,2017-07-10,217.5,198.42,
aflt,2017-07-11,217.2,200.29,
aflt,2017-07-12,225,202.48,
aflt,2017-07-13,211.5,203.92,
aflt,2017-07-14,212.8,205.78,
aflt,2017-07-17,209.2,207.19,
aflt,2017-07-18,208.7,208.52,
aflt,2017-07-19,212.7,209.93,
aflt,2017-07-20,214.7,211.31,
aflt,2017-07-21,208.5,212.08,
aflt,2017-07-24,204.6,212.49,
aflt,2017-07-25,204.55,212.51,
aflt,2017-07-26,208,212.0,
aflt,2017-07-27,207.75,211.62,
aflt,2017-07-28,203.35,210.61,
aflt,2017-07-31,201.7,209.5,
aflt,2017-08-01,206.4,208.17,
aflt,2017-08-02,205.55,207.75,
aflt,2017-08-03,204.3,207.14,
aflt,2017-08-04,205.45,206.87,
aflt,2017-08-07,205.4,206.64,
aflt,2017-08-08,210.05,206.45,
aflt,2017-08-09,208.9,206.04,
aflt,2017-08-10,205.85,205.85,
aflt,2017-08-11,202.9,205.72,
aflt,2017-08-14,205.25,205.77,
aflt,2017-08-15,206.85,205.69,
aflt,2017-08-16,209.7,205.83,
aflt,2017-08-17,210.95,206.37,
aflt,2017-08-18,212.65,207.16,
aflt,2017-08-21,213.05,207.63,
aflt,2017-08-22,213,208.16,
aflt,2017-08-23,209.3,208.52,
aflt,2017-08-24,206.4,208.59,
aflt,2017-08-25,204,208.49,
aflt,2017-08-28,203.15,208.0,
aflt,2017-08-29,204.7,207.7,
aflt,2017-08-30,198,207.14,
aflt,2017-08-31,191.8,206.34,
aflt,2017-09-01,190,205.25,
aflt,2017-09-04,193.25,204.28,
aflt,2017-09-05,200.75,203.64,
aflt,2017-09-06,199.65,202.84,
aflt,2017-09-07,197.05,201.72,
aflt,2017-09-08,195.85,200.49,
aflt,2017-09-11,197.5,199.39,
aflt,2017-09-12,197.85,198.57,
aflt,2017-09-13,196.5,197.86,
aflt,2017-09-14,196.25,197.31,
aflt,2017-09-15,194.5,196.69,
aflt,2017-09-18,195.15,196.01,
aflt,2017-09-19,190,195.44,
aflt,2017-09-20,188,195.16,
aflt,2017-09-21,187,194.95,
aflt,2017-09-22,183.95,194.29,
aflt,2017-09-25,183.55,193.06,
aflt,2017-09-26,184.05,191.94,
aflt,2017-09-27,185.3,191.1,
aflt,2017-09-28,183.8,190.24,
aflt,2017-09-29,183.95,189.27,
aflt,2017-10-02,184.75,188.34,
aflt,2017-10-03,186,187.59,
aflt,2017-10-04,184.3,186.74,
aflt,2017-10-05,181.7,185.82,
aflt,2017-10-06,181,184.81,
aflt,2017-10-09,181.6,184.21,
aflt,2017-10-10,181.75,183.76,
aflt,2017-10-11,183.55,183.52,
aflt,2017-10-12,181,183.31,
aflt,2017-10-13,180.6,183.1,
aflt,2017-10-16,181.25,182.9,
aflt,2017-10-17,181.1,182.6,
aflt,2017-10-18,181.7,182.45,
aflt,2017-10-19,180.4,182.19,
aflt,2017-10-20,182.5,182.03,
aflt,2017-10-23,184.7,181.94,
aflt,2017-10-24,184,181.92,
aflt,2017-10-25,184.5,182.12,
aflt,2017-10-26,182.55,182.23,
aflt,2017-10-27,182.8,182.31,
aflt,2017-10-30,184.35,182.5,
aflt,2017-10-31,180,182.25,
aflt,2017-11-01,164.9,181.1,
aflt,2017-11-02,164.5,179.95,
aflt,2017-11-03,162.4,178.6,
aflt,2017-11-07,158.45,176.98,
aflt,2017-11-08,163,175.65,
aflt,2017-11-09,164.5,174.51,
aflt,2017-11-10,163.4,173.15,
aflt,2017-11-13,161,171.45,
aflt,2017-11-14,157,169.52,
aflt,2017-11-15,159.2,167.72,
aflt,2017-11-16,164.4,166.42,
aflt,2017-11-17,164.55,165.12,
aflt,2017-11-20,164.6,163.71,
aflt,2017-11-21,166.25,162.72,
aflt,2017-11-22,163.95,162.66,
aflt,2017-11-23,162.3,162.5,
aflt,2017-11-24,159.85,162.32,
aflt,2017-11-27,157,162.21,
aflt,2017-11-28,157.2,161.8,
aflt,2017-11-29,158.6,161.38,
aflt,2017-11-30,152.5,160.6,
aflt,2017-12-01,148.15,159.68,
aflt,2017-12-04,144.6,158.8,
aflt,2017-12-05,146.4,157.88,
aflt,2017-12-06,144.7,156.48,
aflt,2017-12-07,144.35,155.03,
aflt,2017-12-08,144.35,153.59,
aflt,2017-12-11,143.55,151.96,
aflt,2017-12-12,140.1,150.26,
aflt,2017-12-13,137,148.45,
aflt,2017-12-14,141.8,147.16,
aflt,2017-12-15,143.6,146.21,
